time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-01T13:14:35.306Z,-16.6087,175.0609,18.418,4.7,mb,29,63,3.075,0.68,us,us6000k9s4,2023-07-15T22:09:54.040Z,"277 km WNW of Lautoka, Fiji",earthquake,10.16,2.91,0.12,21,reviewed,us,us
2023-04-08T16:27:32.526Z,-16.5746,175.0025,14.836,5.3,mww,42,58,7.583,0.74,us,us6000k2vx,2023-06-13T03:12:22.040Z,"284 km WNW of Lautoka, Fiji",earthquake,8.74,4.332,0.083,14,reviewed,us,us
2023-03-18T03:01:09.673Z,-19.2513,-179.1057,487.675,4.6,mb,64,54,3.085,1.13,us,us7000jl0d,2023-05-20T23:20:35.040Z,"211 km SE of Levuka, Fiji",earthquake,3.92,6.162,0.031,320,reviewed,us,us
2023-03-11T18:21:26.034Z,-16.4466,177.5002,10,5.2,mww,72,98,1.395,0.72,us,us7000jj5y,2023-05-15T02:49:09.040Z,"121 km N of Ba, Fiji",earthquake,5.18,1.736,0.089,12,reviewed,us,us
2023-03-11T13:29:45.928Z,-16.3993,177.5056,10,5.5,mww,58,61,4.703,0.59,us,us7000jj4s,2023-05-15T02:49:11.040Z,"126 km N of Ba, Fiji",earthquake,9.24,1.836,0.098,10,reviewed,us,us
2023-02-14T23:21:52.470Z,-16.8326,175.9188,10,4.9,mb,25,65,2.231,1.04,us,us6000jnzz,2023-04-22T21:33:08.040Z,"184 km WNW of Lautoka, Fiji",earthquake,9.26,1.876,0.136,17,reviewed,us,us
2023-01-19T16:55:04.577Z,-17.3333,-179.0093,552.917,4.5,mb,67,44,3.127,0.62,us,us7000j5jy,2023-03-31T19:45:30.040Z,"195 km ENE of Levuka, Fiji",earthquake,10.42,6.723,0.077,55,reviewed,us,us
2023-01-18T20:07:40.989Z,-17.176,175.5265,10,4.9,mb,28,72,2.477,0.7,us,us7000j5bm,2023-03-31T19:45:16.040Z,"210 km WNW of Lautoka, Fiji",earthquake,5.71,1.852,0.115,26,reviewed,us,us
2023-01-15T17:36:47.239Z,-17.7086,179.9179,617.888,4.5,mb,73,51,1.778,0.74,us,us7000j4js,2023-03-31T19:44:27.040Z,"75 km ENE of Levuka, Fiji",earthquake,12.07,7.096,0.038,208,reviewed,us,us
2023-01-11T19:59:53.244Z,-17.3917,175.534,10,4.6,mb,26,81,2.428,0.8,us,us7000j5rr,2023-03-20T06:03:57.040Z,"204 km WNW of Nadi, Fiji",earthquake,10.59,1.872,0.136,19,reviewed,us,us
2022-11-30T15:18:25.935Z,-16.1908,176.8334,10,4.9,mb,23,110,1.936,0.91,us,us6000j5sp,2023-02-05T23:25:35.040Z,"170 km NNW of Lautoka, Fiji",earthquake,8.15,1.868,0.132,19,reviewed,us,us
2022-10-09T22:58:49.667Z,-16.4225,178.0237,10,5.4,mww,58,104,1.315,0.58,us,us6000isdb,2022-12-17T22:53:47.040Z,"128 km NNE of Ba, Fiji",earthquake,10.35,1.78,0.098,10,reviewed,us,us
2022-09-30T05:46:08.701Z,-17.6303,-179.8695,588.859,4.5,mb,50,101,3.707,0.51,us,us6000ipj6,2022-12-03T22:02:44.040Z,"98 km ENE of Levuka, Fiji",earthquake,11.52,8.763,0.083,43,reviewed,us,us
2022-07-10T22:10:46.251Z,-18.3086,176.455,10,4.5,mb,21,109,1.62,0.25,us,us6000i3h2,2022-09-24T21:26:00.040Z,"116 km WSW of Nadi, Fiji",earthquake,11.2,1.9,0.14,15,reviewed,us,us
2022-06-07T16:23:00.649Z,-16.6682,176.9164,10,4.6,mb,15,91,1.525,0.53,us,us7000hgia,2022-08-13T21:51:54.040Z,"119 km NNW of Lautoka, Fiji",earthquake,6.8,1.9,0.193,10,reviewed,us,us
2022-04-30T13:30:42.064Z,-16.6268,175.9384,10,4.5,mb,25,71,6.174,1.04,us,us7000h7jz,2022-07-09T21:39:43.040Z,"194 km NW of Lautoka, Fiji",earthquake,7.2,1.9,0.131,17,reviewed,us,us
2022-04-26T04:14:05.741Z,-18.4087,176.3764,10,4.5,mb,21,111,1.725,0.33,us,us7000h6nt,2022-07-05T03:40:51.040Z,"128 km WSW of Nadi, Fiji",earthquake,8.4,1.6,0.171,10,reviewed,us,us
2022-04-26T00:43:22.816Z,-17.7789,-179.9997,603.3,4.6,mb,153,77,1.856,0.58,us,us6000hgcw,2022-07-05T03:40:47.040Z,"79 km ENE of Levuka, Fiji",earthquake,9.9,5.9,0.027,400,reviewed,us,us
2022-04-25T16:41:09.993Z,-16.4398,177.5048,10,4.7,mb,18,94,1.399,0.64,us,us7000h6n1,2022-07-05T03:40:41.040Z,"122 km N of Ba, Fiji",earthquake,6.3,1.9,0.183,10,reviewed,us,us
2022-04-25T14:18:49.004Z,-16.675,177.4227,10,4.7,mb,49,92,1.222,0.7,us,us7000h6mu,2022-07-05T03:40:37.040Z,"98 km NNW of Ba, Fiji",earthquake,7.6,1.6,0.092,39,reviewed,us,us
2022-04-25T14:17:25.545Z,-16.6395,177.413,10,4.5,mb,30,101,1.257,0.69,us,us7000h6mv,2022-07-05T03:40:37.040Z,"102 km NNW of Ba, Fiji",earthquake,9.5,1.9,0.125,21,reviewed,us,us
2022-03-19T23:19:43.463Z,-16.5036,178.1047,10,4.5,mb,,130,1.235,0.5,us,us7000gwuj,2022-05-28T18:35:31.040Z,"122 km NNE of Ba, Fiji",earthquake,10.3,1.9,0.242,5,reviewed,us,us
2022-01-23T18:19:47.815Z,-18.436,176.3294,10,4.7,mb,,71,1.777,1.07,us,us7000ggni,2022-04-09T20:18:55.040Z,"134 km WSW of Nadi, Fiji",earthquake,5.9,1.8,0.092,36,reviewed,us,us
2021-12-31T20:29:42.723Z,-16.4344,178.0668,10,4.7,mb,,121,1.303,1.04,us,us7000gazi,2022-03-05T23:11:13.040Z,"128 km NNE of Ba, Fiji",earthquake,10.9,1.9,0.138,18,reviewed,us,us
2021-12-28T02:45:13.670Z,-17.5673,179.69,642.4,4.5,mb,,137,1.571,0.83,us,us7000g9yb,2022-03-05T23:11:05.040Z,"67 km NE of Levuka, Fiji",earthquake,10.7,13.1,0.151,13,reviewed,us,us
